stem,idx,name,price,date,folded,gt_match_sim,issues
web__스크린샷 2026-04-25 184545,0,"추가환급 이용료",226797,,false,1.00,missing_date
web__스크린샷 2026-04-25 184545,1,"세금환급 이용료",0,,false,1.00,missing_price|missing_date
web__스크린샷 2026-04-25 184545,2,"이 헬스프랜드 슈퍼 비타민ㅇ3000 비타민씨 고함량 분말 가루 스틱 100포, 1개",0,,false,0.94,missing_price|missing_date
web__스크린샷 2026-04-25 184545,3,"변색방지 카드 수납 범퍼 케이스 투명, 갤럭시 노트20",10900,,false,1.00,missing_date
web__스크린샷 2026-04-25 184716,0,"해들원샵 AAI AB WiFi SM-X200 종이질감 ES EE 호환 태블릿보호필름",0,2026-02-21,false,0.76,missing_price
web__스크린샷 2026-04-25 184716,1,"선미식품 선지 해장국 6009 레토르트 안주 전자렌지 간편 조리",12500,,false,0.96,missing_date
web__스크린샷 2026-04-25 184716,2,"선지 해장국 6009 레토르트 안주 전자렌지 간편 조리",12500,,false,0.81,missing_date
web__스크린샷 2026-04-25 184716,3,"피리사 플라스틱 산조대금",0,,false,1.00,missing_price|missing_date
web__스크린샷 2026-04-25 184738,0,"플러스 |용1",4900,,false,0.36,missing_date
web__스크린샷 2026-04-25 184738,1,"티머니60)시외버스 승차권",17000,,false,0.83,missing_date
web__스크린샷 2026-04-25 184738,2,"티머니60)고속버스 승차권",0,,false,0.83,missing_price|missing_date
web__스크린샷 2026-04-25 184738,3,"성수차실시음 예약",0,,false,1.00,missing_price|missing_date
web__스크린샷 2026-04-25 184738,4,"발레 머리끈 일자끈 5개 1SET 발레 콩쿨 머리 무용입시 필수",5000,,false,1.00,missing_date
web__스크린샷 2026-04-25 184758,0,"탈취제 화장실 담배 집안 실내 고체 폴애비 남자 방 냄새 제거",18300,,false,0.82,missing_date
web__스크린샷 2026-04-25 184758,1,"시) 떠블혜택] [맛있닭] 닭가슴살 스테이크 1010 & 25425",0,,false,0.88,missing_price|missing_date
web__스크린샷 2026-04-25 184758,2,"티머니60)시외버스 승차권",17000,,false,0.83,missing_date
web__스크린샷 2026-04-25 184758,3,"파리지앵 접이식 스탠드 다리미판 우마 스팀다리미판",0,,false,1.00,missing_price|missing_date
web__스크린샷 2026-04-25 184818,0,"한일의료기 전기매트 황토 방수 엠보 고급레자 탄소매트 £ 675x180",36300,,false,0.97,missing_date
web__스크린샷 2026-04-25 184818,1,"일라 스트링 머리끈 고무줄 악세사리 7",0,,false,0.88,missing_price|missing_date
web__스크린샷 2026-04-25 184818,2,"클로드 코드 완벽 마스터: 시 개발 워크플로우 기조부터 실전까지 (with 커서 시)",115500,2025-12-31,false,0.86,
web__스크린샷 2026-04-25 184840,0,"티머니60)고속버스 승차권",0,2025-12-22,false,0.83,missing_price
web__스크린샷 2026-04-25 184840,1,"네이버플러스 월간 이용권",0,2025-12-10,false,1.00,missing_price
web__스크린샷 2026-04-25 184840,2,"소세지빵",22000,2025-11-24,false,1.00,
web__스크린샷 2026-04-25 184840,3,"리아나 카본히터 2 BH 전기히터 전기난로 초저전력 가정용 사무실 난방기 초저소음",128000,2025-11-20,false,0.91,
web__스크린샷 2026-04-25 184841,0,"티머니60)고속버스 승차권",0,2025-12-22,false,0.83,missing_price
web__스크린샷 2026-04-25 184841,1,"네이버플러스 월간 이용권",0,2025-12-10,false,1.00,missing_price
web__스크린샷 2026-04-25 184841,2,"소세지빵",22000,2025-11-24,false,1.00,
web__스크린샷 2026-04-25 184841,3,"리아나 카본히터 2 BH 전기히터 전기난로 초저전력 가정용 사무실 난방기 초저소음",128000,2025-11-20,false,0.91,
web__스크린샷 2026-04-25 184939,0,"플러스 EX",0,2025-08-10,false,—,missing_price
web__스크린샷 2026-04-25 184939,1,"국산 내추럴 메쉬 편한 컴퓨터의자 사무용 사무실 학생 공부 책상의자 TRYARR",38700,2025-07-30,false,0.78,
web__스크린샷 2026-04-25 184939,2,"",0,2025-07-29,false,—,missing_name|missing_price
web__스크린샷 2026-04-25 184939,3,"데스크탑 0004 166 2666 PCA 21300 램16기가 메모리",0,2025-07-25,false,0.74,missing_price
web__스크린샷 2026-04-25 185005,0,"신명",17000,2025-06-08,false,1.00,
web__스크린샷 2026-04-25 185005,1,"티머니60)고속버스 승차권",17000,2025-06-06,false,0.83,
web__스크린샷 2026-04-25 185005,2,"티머니60)시외버스 승차권",17000,2025-06-06,false,0.83,
web__스크린샷 2026-04-25 185005,3,"남성전용 8인 도미토리",0,,false,1.00,missing_price|missing_date
web__스크린샷 2026-04-25 185005,4,"남자3인실 도미토리",34000,2025-06-05,false,1.00,
web__스크린샷 2026-04-25 185035,0,"연만들기 독수리 가오리연 연날리기 세트 (얼레 미포함)",2000,2025-02-10,false,1.00,
web__스크린샷 2026-04-25 185035,1,"연만들기 독수리 가오리연 연날리기 세트 (얼레 미포함)",1500,2025-02-10,false,1.00,
web__스크린샷 2026-04-25 185035,2,"대용량 히알루론산 수분 크림 YE 시카 영양 보습 달팽이 크림 주름개선 x BFE",21800,2025-02-10,false,0.82,
web__스크린샷 2026-04-25 185035,3,"쿠키 100개",10000,2025-02-07,false,1.00,
web__스크린샷 2026-04-25 185101,0,"게임파드 <0>컨트롤러 PCAYTE",19900,2025-01-23,false,0.50,
web__스크린샷 2026-04-25 185101,1,"개 하드디스크00 218 내장 359% 컴퓨터 데스크탑 SATA",0,2025-01-19,false,0.71,missing_price
web__스크린샷 2026-04-25 185101,2,"Se 0/8 DP to DVI 변환 케이블 1.8m 117",3850,2025-01-15,false,0.75,
web__스크린샷 2026-04-25 185126,0,"군 데스크탑 무선랜카드 노트북 958 WiFi 수신기 와이파이 동글이 15005",3900,2025-01-09,false,0.78,
web__스크린샷 2026-04-25 185126,1,"삼성전자 0084 8G PC4 21300 2666\\ 메모리",22400,,false,0.85,missing_date
web__스크린샷 2026-04-25 185126,2,"(GA-A320M-H AMD 라이젠 AM4 DDR4 기가바이트 메인보드",0,,false,1.00,missing_price|missing_date
web__스크린샷 2026-04-25 185126,3,"라이젠5 5600 버미어 멀티팩정품 쿨러포함 대원씨티에스 정품",0,,false,0.90,missing_price|missing_date
web__스크린샷 2026-04-25 185155,0,"샘물웰빙 XI2개 LoS HEF 100mix 60742",0,2024-09-24,false,—,missing_price
web__스크린샷 2026-04-25 185155,1,"한국생약 HT50E",50000,2024-09-24,false,0.67,
web__스크린샷 2026-04-25 185155,2,"의자깔판 바퀴자국 장판 바닥보호패드 50",0,2024-09-17,false,0.94,missing_price
web__스크린샷 2026-04-25 185228,0,"오늘좋은 초코칩쿠키 기획 23090 개",0,,false,0.83,missing_price|missing_date
web__스크린샷 2026-04-25 185228,1,"오늘좋은 초코칩쿠키 기획 23090 개",0,,false,0.83,missing_price|missing_date
web__스크린샷 2026-04-25 185228,2,"롤러콘 엑스트라 파프리카향 659",10400,2024-06-29,false,0.93,
web__스크린샷 2026-04-25 185228,3,"고왕이슈 = (30캔)",36190,2024-06-27,false,0.35,
web__스크린샷 2026-04-25 185255,0,"영화예매-범죄도시4",7000,2024-04-25,false,1.00,
web__스크린샷 2026-04-25 185255,1,"영화예매-고스트버스터즈: ONS 뉴욕",7000,2024-04-21,false,0.81,
